Block Size (bytes): ,512,1024,2048,4096,8192,16384
Read test 1: ,105,141,199,250,286,287
Read test 2: ,105,133,199,250,286,334
Read test 3: ,105,142,199,248,286,330
Write test 1: ,62,334,283,331,57,334
Write test 2: ,44,52,330,60,60,57
Write test 3: ,284,44,286,327,58,57
